subject,wave,session,term,roi,b
115825,wave2,proactive,incongruency,LH_Limbic_TempPole_1,0.0516513320886294
115825,wave2,proactive,target,LH_Limbic_TempPole_1,0.00911002820288469
115825,wave2,proactive,intercept,LH_Limbic_TempPole_2,-0.018017431706767
115825,wave2,proactive,conjunction,LH_Limbic_TempPole_2,0.0121583892994948
115825,wave2,proactive,distractor,LH_Limbic_TempPole_2,-0.00376299495122408
115825,wave2,proactive,incongruency,LH_Limbic_TempPole_2,-0.00581159220307066
115825,wave2,proactive,target,LH_Limbic_TempPole_2,-0.00541125822371818
115825,wave2,proactive,intercept,LH_Limbic_TempPole_3,-0.0328882649742264
115825,wave2,proactive,conjunction,LH_Limbic_TempPole_3,-0.0873079433138989
115825,wave2,proactive,distractor,LH_Limbic_TempPole_3,0.0654470530094982
115825,wave2,proactive,incongruency,LH_Limbic_TempPole_3,0.0341611986382842
115825,wave2,proactive,target,LH_Limbic_TempPole_3,0.00736466697448123
115825,wave2,proactive,intercept,LH_Limbic_TempPole_4,-0.0095835197110239
115825,wave2,proactive,conjunction,LH_Limbic_TempPole_4,-0.0135928645391281
115825,wave2,proactive,distractor,LH_Limbic_TempPole_4,0.0219576902925344
115825,wave2,proactive,incongruency,LH_Limbic_TempPole_4,0.0136539712597857
115825,wave2,proactive,target,LH_Limbic_TempPole_4,0.0125914917189133
115825,wave2,proactive,intercept,LH_SalVentAttn_FrOperIns_1,0.153820287999405
115825,wave2,proactive,conjunction,LH_SalVentAttn_FrOperIns_1,0.0584437388520233
115825,wave2,proactive,distractor,LH_SalVentAttn_FrOperIns_1,0.0158713897189138
115825,wave2,proactive,incongruency,LH_SalVentAttn_FrOperIns_1,-0.0175900491507984
115825,wave2,proactive,target,LH_SalVentAttn_FrOperIns_1,-0.00501510834229018
115825,wave2,proactive,intercept,LH_SalVentAttn_FrOperIns_2,0.291310281931009
115825,wave2,proactive,conjunction,LH_SalVentAttn_FrOperIns_2,0.00918553527181803
115825,wave2,proactive,distractor,LH_SalVentAttn_FrOperIns_2,0.00223502863593588
115825,wave2,proactive,incongruency,LH_SalVentAttn_FrOperIns_2,-0.116262315746849
115825,wave2,proactive,target,LH_SalVentAttn_FrOperIns_2,-0.00522704776118264
115825,wave2,proactive,intercept,LH_SalVentAttn_FrOperIns_3,0.677722923979472
115825,wave2,proactive,conjunction,LH_SalVentAttn_FrOperIns_3,0.0649035293315239
115825,wave2,proactive,distractor,LH_SalVentAttn_FrOperIns_3,-0.0132658456290817
115825,wave2,proactive,incongruency,LH_SalVentAttn_FrOperIns_3,-0.0833292044054149
115825,wave2,proactive,target,LH_SalVentAttn_FrOperIns_3,-0.0197063022062044
115825,wave2,proactive,intercept,LH_SalVentAttn_FrOperIns_4,0.420939619485861
115825,wave2,proactive,conjunction,LH_SalVentAttn_FrOperIns_4,0.0628417800619463
115825,wave2,proactive,distractor,LH_SalVentAttn_FrOperIns_4,0.0208647981888148
115825,wave2,proactive,incongruency,LH_SalVentAttn_FrOperIns_4,-0.0140969411533776
115825,wave2,proactive,target,LH_SalVentAttn_FrOperIns_4,0.0131389238453854
115825,wave2,proactive,intercept,LH_SalVentAttn_Med_1,0.261909377956952
115825,wave2,proactive,conjunction,LH_SalVentAttn_Med_1,-0.0445044553395252
115825,wave2,proactive,distractor,LH_SalVentAttn_Med_1,0.0205262891885455
115825,wave2,proactive,incongruency,LH_SalVentAttn_Med_1,0.128379790183131
115825,wave2,proactive,target,LH_SalVentAttn_Med_1,0.0146775235834428
115825,wave2,proactive,intercept,LH_SalVentAttn_Med_2,0.185251043976318
115825,wave2,proactive,conjunction,LH_SalVentAttn_Med_2,0.0359218318989551
115825,wave2,proactive,distractor,LH_SalVentAttn_Med_2,0.00215925661155867
115825,wave2,proactive,incongruency,LH_SalVentAttn_Med_2,-0.00261985442074129
115825,wave2,proactive,target,LH_SalVentAttn_Med_2,-0.034525086898463
115825,wave2,proactive,intercept,LH_SalVentAttn_Med_3,0.814090331088226
115825,wave2,proactive,conjunction,LH_SalVentAttn_Med_3,-0.00735777795967068
115825,wave2,proactive,distractor,LH_SalVentAttn_Med_3,0.0109028812600527
115825,wave2,proactive,incongruency,LH_SalVentAttn_Med_3,-0.0029359778641903
115825,wave2,proactive,target,LH_SalVentAttn_Med_3,0.00535164976294909
115825,wave2,proactive,intercept,LH_SalVentAttn_ParOper_1,0.328826320440575
115825,wave2,proactive,conjunction,LH_SalVentAttn_ParOper_1,0.0135126898511041
115825,wave2,proactive,distractor,LH_SalVentAttn_ParOper_1,0.0280080585329168
115825,wave2,proactive,incongruency,LH_SalVentAttn_ParOper_1,0.021493814947332
115825,wave2,proactive,target,LH_SalVentAttn_ParOper_1,0.0257155458999862
115825,wave2,proactive,intercept,LH_SalVentAttn_ParOper_2,0.506035221712154
115825,wave2,proactive,conjunction,LH_SalVentAttn_ParOper_2,0.00697077012525338
115825,wave2,proactive,distractor,LH_SalVentAttn_ParOper_2,0.0251505918604718
115825,wave2,proactive,incongruency,LH_SalVentAttn_ParOper_2,0.109087655014958
115825,wave2,proactive,target,LH_SalVentAttn_ParOper_2,0.0129285689135835
115825,wave2,proactive,intercept,LH_SalVentAttn_ParOper_3,0.316465081575548
115825,wave2,proactive,conjunction,LH_SalVentAttn_ParOper_3,0.0200011748573104
115825,wave2,proactive,distractor,LH_SalVentAttn_ParOper_3,0.0416106545735532
115825,wave2,proactive,incongruency,LH_SalVentAttn_ParOper_3,-0.0793473170319282
115825,wave2,proactive,target,LH_SalVentAttn_ParOper_3,0.00199347903671154
115825,wave2,proactive,intercept,LH_SalVentAttn_PFCl_1,0.251054818720574
115825,wave2,proactive,conjunction,LH_SalVentAttn_PFCl_1,-0.0441561271404858
115825,wave2,proactive,distractor,LH_SalVentAttn_PFCl_1,0.0563851897935797
115825,wave2,proactive,incongruency,LH_SalVentAttn_PFCl_1,0.0578107842999278
